C,rho,l0,lmax,J,n,seed,steps,seconds,valid,unique,valid_novel,viol,novel_rate,qed,run_name
0.0100503,0.6,3.4,12.0,2,4,1,64,846,52,52,51,0.019230769230769273,0.9807692307692307,0.4721167257827806,adual_iltd_C0.0100503_rho0.6_l03.4_lmax12.0_J2_n4_seed1_steps64
0.0100503,0.6,3.3,12.0,2,4,1,64,848,52,52,51,0.019230769230769273,0.9807692307692307,0.4845337971454394,adual_iltd_C0.0100503_rho0.6_l03.3_lmax12.0_J2_n4_seed1_steps64
0.0100503,0.75,2.0,12.0,2,4,1,64,840,105,105,97,0.07619047619047614,0.9238095238095239,0.4815747819440236,adual_iltd_C0.0100503_rho0.75_l02.0_lmax12.0_J2_n4_seed1_steps64
0.0100503,0.8,2.2,12.0,2,4,1,64,841,102,102,96,0.05882352941176472,0.9411764705882353,0.4758996392907351,adual_iltd_C0.0100503_rho0.8_l02.2_lmax12.0_J2_n4_seed1_steps64
0.0100503,0.8,2.0,12.0,2,4,3,64,844,89,89,83,0.0674157303370787,0.9325842696629213,0.47439526168667817,adual_iltd_C0.0100503_rho0.8_l02.0_lmax12.0_J2_n4_seed3_steps64
0.0100503,0.8,2.0,12.0,2,4,2,64,854,84,84,76,0.09523809523809523,0.9047619047619048,0.4890096147687739,adual_iltd_C0.0100503_rho0.8_l02.0_lmax12.0_J2_n4_seed2_steps64
0.0100503,0.6,3.0,12.0,2,4,3,64,836,66,66,64,0.030303030303030276,0.9696969696969697,0.48002080279577297,adual_iltd_C0.0100503_rho0.6_l03.0_lmax12.0_J2_n4_seed3_steps64
0.0100503,0.6,3.1,12.0,2,4,1,64,846,73,73,72,0.013698630136986356,0.9863013698630136,0.4931657425483261,adual_iltd_C0.0100503_rho0.6_l03.1_lmax12.0_J2_n4_seed1_steps64
0.0100503,0.6,2.9,12.0,2,4,1,64,849,87,87,83,0.04597701149425293,0.9540229885057471,0.48564879540796396,adual_iltd_C0.0100503_rho0.6_l02.9_lmax12.0_J2_n4_seed1_steps64
0.0100503,0.6,3.0,12.0,2,4,2,64,850,71,71,65,0.08450704225352113,0.9154929577464789,0.4971133959549236,adual_iltd_C0.0100503_rho0.6_l03.0_lmax12.0_J2_n4_seed2_steps64
0.0100503,0.6,3.1,12.0,2,4,3,64,836,58,58,56,0.03448275862068961,0.9655172413793104,0.4917020688425952,adual_iltd_C0.0100503_rho0.6_l03.1_lmax12.0_J2_n4_seed3_steps64
0.0100503,0.6,3.1,12.0,2,4,2,64,840,57,57,53,0.07017543859649122,0.9298245614035088,0.5007657840347735,adual_iltd_C0.0100503_rho0.6_l03.1_lmax12.0_J2_n4_seed2_steps64
0.00010001,0.6,3.1,12.0,2,4,1,64,838,72,72,70,0.02777777777777779,0.9722222222222222,0.489845765216009,adual_iltd_C0.00010001_rho0.6_l03.1_lmax12.0_J2_n4_seed1_steps64
0.0010005,0.6,3.1,12.0,2,4,1,64,842,72,72,70,0.02777777777777779,0.9722222222222222,0.489845765216009,adual_iltd_C0.0010005_rho0.6_l03.1_lmax12.0_J2_n4_seed1_steps64
0.0100503,1.5,3.5,12.0,2,4,1,64,829,44,44,44,0.0,1.0,0.4854067144716076,adual_iltd_C0.0100503_rho1.5_l03.5_lmax12.0_J2_n4_seed1_steps64
0.0100503,1.0,3.5,12.0,2,4,1,64,833,47,47,46,0.021276595744680882,0.9787234042553191,0.47889620894118795,adual_iltd_C0.0100503_rho1.0_l03.5_lmax12.0_J2_n4_seed1_steps64
0.0100503,0.6,3.1,12.0,2,2,1,64,715,53,53,50,0.05660377358490565,0.9433962264150944,0.5000477149180219,adual_iltd_C0.0100503_rho0.6_l03.1_lmax12.0_J2_n2_seed1_steps64
0.0100503,0.6,3.15,12.0,2,4,1,64,836,68,68,67,0.014705882352941124,0.9852941176470589,0.4890261606076288,adual_iltd_C0.0100503_rho0.6_l03.15_lmax12.0_J2_n4_seed1_steps64
0.0100503,0.6,3.1,12.0,2,4,4,64,839,53,53,50,0.05660377358490565,0.9433962264150944,0.4849149725189092,adual_iltd_C0.0100503_rho0.6_l03.1_lmax12.0_J2_n4_seed4_steps64
0.0100503,0.6,3.1,12.0,3,4,1,64,963,44,44,43,0.022727272727272707,0.9772727272727273,0.5029630215318814,adual_iltd_C0.0100503_rho0.6_l03.1_lmax12.0_J3_n4_seed1_steps64
0.0100503,0.6,3.1,12.0,2,4,5,64,836,65,65,62,0.0461538461538461,0.9538461538461539,0.4848383730633123,adual_iltd_C0.0100503_rho0.6_l03.1_lmax12.0_J2_n4_seed5_steps64
0.0100503,0.6,3.05,12.0,2,4,1,64,839,78,78,76,0.02564102564102566,0.9743589743589743,0.4914372914875612,adual_iltd_C0.0100503_rho0.6_l03.05_lmax12.0_J2_n4_seed1_steps64
0.0100503,0.3,3.1,12.0,2,4,1,64,838,72,72,70,0.02777777777777779,0.9722222222222222,0.5001156610175853,adual_iltd_C0.0100503_rho0.3_l03.1_lmax12.0_J2_n4_seed1_steps64
0.0100503,0.4,3.1,12.0,2,4,1,64,841,70,70,68,0.02857142857142858,0.9714285714285714,0.49954911855102146,adual_iltd_C0.0100503_rho0.4_l03.1_lmax12.0_J2_n4_seed1_steps64
0.0100503,0.6,2.5,4.0,2,4,1,64,843,100,100,94,0.06000000000000005,0.94,0.47714186190412616,adual_iltd_C0.0100503_rho0.6_l02.5_lmax4.0_J2_n4_seed1_steps64
0.0100503,0.6,3.5,12.0,2,6,1,64,959,35,35,35,0.0,1.0,0.5138489383442268,adual_iltd_C0.0100503_rho0.6_l03.5_lmax12.0_J2_n6_seed1_steps64
0.0100503,0.6,3.1,12.0,2,4,7,64,836,70,70,66,0.05714285714285716,0.9428571428571428,0.4665189651878762,adual_iltd_C0.0100503_rho0.6_l03.1_lmax12.0_J2_n4_seed7_steps64
